gsis_id,display_name,position,fantasy_ppg,n_games,replacement_ppg,vor,boom_prob,bust_prob,ex_value
00-0036259,Jauan Jennings,WR,11.553333333333335,15,12.479999999999999,-0.9266666666666641,0.07947262743518714,0.9205273725648129,-0.7778939081079937
00-0040129,Emeka Egbuka,WR,11.511764705882353,17,12.479999999999999,-0.9682352941176458,0.23557207347545372,0.7644279265245463,-0.5272443725715964
00-0033553,James Conner,RB,11.100000000000001,3,12.129411764705884,-1.0294117647058822,0.09181868595529495,0.908181314044705,-0.8623557672589839
00-0035659,Terry McLaurin,WR,11.42,10,12.479999999999999,-1.0599999999999987,0.10600161777120676,0.8939983822287932,-0.8615649715322997
00-0038935,Brenton Strange,TE,11.75,12,12.847058823529412,-1.0970588235294123,,,
00-0039915,Ladd McConkey,WR,11.30625,16,12.479999999999999,-1.1737499999999983,0.19929709318609007,0.80070290681391,-0.8006658415556378
00-0035261,Tony Pollard,RB,10.929411764705883,17,12.129411764705884,-1.200000000000001,0.1838274218486126,0.8161725781513874,-0.8655422260130841
00-0030061,Zach Ertz,TE,11.646153846153847,13,12.847058823529412,-1.200904977375565,,,
00-0034796,Lamar Jackson,QB,20.29692307692308,13,21.520000000000003,-1.223076923076924,0.1750701578296564,0.8249298421703436,-0.6579504536027931
00-0039384,Tyrone Tracy Jr.,RB,10.72,15,12.129411764705884,-1.409411764705883,0.2486156230583326,0.7513843769416674,-0.9570775752238696
00-0033119,Jacoby Brissett,QB,20.102857142857143,14,21.520000000000003,-1.41714285714286,0.19077257362907882,0.8092274263709212,-0.8013289894681934
00-0034960,Jakobi Meyers,WR,10.9875,16,12.479999999999999,-1.492499999999998,0.12032784576208133,0.8796721542379187,-1.2672462727333818
00-0031610,Darren Waller,TE,11.18888888888889,9,12.847058823529412,-1.6581699346405223,,,
00-0038606,Parker Washington,WR,10.79375,16,12.479999999999999,-1.6862499999999994,0.1879239750368089,0.8120760249631911,-1.3344563187310932
00-0030279,Keenan Allen,WR,10.74705882352941,17,12.479999999999999,-1.7329411764705878,0.04029639220963077,0.9597036077903692,-1.657506330254159
00-0040691,Jaxson Dart,QB,19.755714285714284,14,21.520000000000003,-1.7642857142857196,0.2345341416179658,0.7654658583820342,-1.007209505142926
00-0037112,Jake Tonges,TE,11.030000000000001,10,12.847058823529412,-1.8170588235294112,,,
00-0034855,Baker Mayfield,QB,19.701176470588237,17,21.520000000000003,-1.818823529411766,0.18107999741747058,0.8189200025825294,-1.234297297748171
00-0039849,Marvin Harrison Jr.,WR,10.65,12,12.479999999999999,-1.8299999999999983,0.2103070342585661,0.7896929657414339,-1.4363052318679626
00-0031408,Mike Evans,WR,10.600000000000001,8,12.479999999999999,-1.8799999999999972,0.03877073639189697,0.961229263608103,-1.8074211814743661
00-0036244,Colby Parkinson,TE,10.807142857142859,14,12.847058823529412,-2.0399159663865536,,,
00-0039868,Troy Franklin,WR,10.41764705882353,17,12.479999999999999,-2.062352941176469,0.19995918389475076,0.8000408161052492,-1.6880293489254956
00-0037261,Khalil Shakir,WR,10.4,16,12.479999999999999,-2.0799999999999983,0.17190301252798648,0.8280969874720135,-1.7581975605476077
00-0037816,Romeo Doubs,WR,10.3375,16,12.479999999999999,-2.1424999999999983,0.1492465573543072,0.8507534426456929,-1.8631104446327353
00-0035685,David Montgomery,RB,9.936470588235295,17,12.129411764705884,-2.1929411764705886,0.12850929838966638,0.8714907016103336,-1.959129847106331
00-0034827,DJ Moore,WR,10.245882352941177,17,12.479999999999999,-2.234117647058822,0.06879907300173507,0.931200926998265,-2.105325782399574
00-0033293,Aaron Jones,RB,9.891666666666667,12,12.129411764705884,-2.237745098039216,0.17003769864297863,0.8299623013570214,-1.9283765086846674
